full_name,short_name
浙江天越创业投资有限公司										,天越创投
SV Angel										,SV Angel
广州高沣投资管理有限公司										,高沣资本
钜洲资产管理（上海）有限公司										,钜洲资产
名信中国成长基金										,名信中国成长基金
清控金融										,清控金融
indiegogo众筹										,indiegogo众筹
北京中鸿富安投资管理中心（有限合伙）										,中鸿投资
三都澳投资（福建）有限公司										,三都澳投资
云南宏福创业投资有限公司										,宏福创投
武汉华工创业投资有限责任公司										,华工创投
日本亚洲投资株式会社										,日本亚洲投资
苏州富丽投资有限公司										,富丽投资
武汉能源与基础设施投资基金										,能源与基础设施投资基金
上海中复投资管理有限公司										,中复投资
上海常春藤投资有限公司										,常春藤资本
The University Venture Fund										,UVF
盈信集团股份有限公司										,盈信投资
北京比特大陆科技有限公司										,比特大陆
长沙麓谷创业投资管理有限公司										,麓谷创投
北京青年创业投资有限公司										,青年创投
福建省电子信息产业股权投资管理有限公司										,福建省电子信息产业股权投资
北京威士曼投资顾问有限公司										,威士曼
宜华资本										,宜华资本
吉林省时代富通股权投资基金管理有限责任公司										,时代富通投资
YourNest										,YourNest
韩国服装时尚投资										,韩国服装时尚投资
Bright Success Capital										,Bright Success Capital
青岛高德科技创业投资有限公司										,高德科创
优步										,优步
汉友创业投资集团										,汉友创投
海益得凯欣投资咨询(上海)有限公司										,海益得凯欣
JW.君威集团										,JW.君威集团
Celtic House Venture Partners										,Celtic House
A Plus Finance										,A Plus Finance
Vy Capital										,Vy Capital
Magic Johnson Enterprises										,Magic Johnson Enterprises
苏州高华创业投资管理有限公司										,高华创投
上海创业接力基金创业投资管理有限公司										,创业接力基金
津蒲投资有限公司										,津蒲投资
东源（天津）股权投资基金管理有限公司										,东源（天津）股权投资
InterWest Partners （中西部合伙人）										,InterWest
北京中关村创业投资发展有限公司										,中关村创投
上海盈创投资管理有限公司										,盈创资本
深圳市晓扬科技投资有限公司										,晓扬科技投资
理时（北京）资本管理有限公司										,理时（北京）资本管理有限公司
Balakrishna Adiga										,Balakrishna Adiga
Ignition Capital										,Ignition
深圳市前海旋石基金管理有限公司										,深圳市前海旋石基金管理有限公司
Draper Associates										,Draper Associates
毕思高(上海)商业有限公司										,毕思高
西藏泰富文化传媒有限公司										,西藏泰富
深圳中南成长投资管理有限公司										,中南成长
上海朗程投资管理有限公司										,朗程资本
百富达资本集团										,百富源资本
车库高科技风险投资公司										,车库投资
德克萨斯太平洋集团										,德太集团
广州水木资产管理有限公司										,广州水木资产管理有限公司
上海国和现代服务产业股权投资管理有限公司										,上海国和投资
深圳市经典创业投资有限公司										,经典创投
俄中IT项目基金										,俄中IT基金
深圳泰豪晟大股权投资管理有限公司										,泰豪晟大投资
深圳市乔治投资发展有限公司										,乔治投资
深圳中融丝路资产管理有限公司										,深圳中融丝路资产管理有限公司
浙江华瓯创业投资有限公司										,华瓯创投
台元创业投资公司										,台元创投
浙商万嘉（北京）创业投资管理有限公司										,娱乐工场
CDIB Capital										,CDIB Capital
上海优诺股权投资有限公司										,优诺资本
北京蓝色水滴资产管理有限公司										,北京蓝色水滴资产管理有限公司
韶关市旅游交通公路建设引导基金										,韶关旅游交通建设基金
富鑫创业投资集团										,富鑫国际
上海中星资本投资顾问有限公司										,中星资本
镇江市绿色发展产业基金										,镇江绿色发展基金
吉林省长江股权投资基金管理有限公司										,吉林长江股权投资
SAPVentures										,SAPVentures
上海科升投资公司										,科升投资
Cthulhu Ventures LLC										,Cthulhu Ventures
慧柏投资有限公司										,慧柏投资
威海市大有正颐创业投资有限公司										,大有正颐创投
