ans,ans_idx,sentence,true
SEEKInternationalInvestment->SEEK,"[{""name"": ""SEEK International Investment"", ""alias"": ""SEEK"", ""name_idx"": [37, 65], ""alias_idx"": [71, 74]}]",投资界（ID：pedaily2012）2月23日消息，智联招聘的第一大股东SEEK International Investment（以下简称SEEK）发布公告，公告披露由春华资本牵头的联合投资方与SEEK签署协议，对智联招聘进行战略投资,1
,[],然而为企业提供零代码应用搭建平台的伙伴云却反其道而行之——做中小企业市场，靠产品驱动增长（Product-LedGrowth，简称PLG）,1
,[],近日，浙江大学中国跨境电子商务研究院发布《中国中小企业跨境电商白皮书》（以下简称《白皮书》,1
,[],证券代码：600196 股票简称：复星医药 编号：临 2019-144,1
,[],债券代码：136236 债券简称：16复药 01,1
,[],债券代码：143020 债券简称：17复药 01,1
,[],债券代码：143422 债券简称：18复药 01,1
,[],债券代码：155067 债券简称：18复药 02,1
,[],债券代码：155068 债券简称：18复药 03,1
,[],"●投资标的：Sisram Medical Ltd（复锐医疗科技有限公司）（于香港联合交易所有限公司主板上市，股份代号 01696.HK，以下简称“Sisram（复锐医疗科技）”）96,976,000 股股份",1
,[],●根据《上海证券交易所股票上市规则》（以下简称“上证所《上市规则》”）及《上海证券交易所上市公司关联交易实施指引》（以下简称“《关联交易实施指引 》”） 的 规 定 ， Magnificent View Investments Limited （ 以 下 简 称“Magnificent View”）构成上海复星医药（集团）股份有限公司（以下简称“本公司”或“复星医药”）的关联方、本次交易构成关联交易,1
本公司及控股子公司/单位->本集团,"[{""name"": ""本公司及控股子公司/单位"", ""alias"": ""本集团"", ""name_idx"": [23, 34], ""alias_idx"": [41, 43]}]",●除本次关联交易外，本公告日前 12 个月内，本公司及控股子公司/单位（以下简称“本集团”）与郭广昌先生所控制的其他企业之间发生的关联交易主要包括：,1
,[],（1）2019 年 2 月 15 日，本公司与关联方上海复星健康产业控股有限公司（以下简称“复星健控”）、亚东信摩投资管理有限公司（以下简称“亚东信摩”）2,1
杭州亲贝科技有限公司->亲贝科技,"[{""name"": ""杭州亲贝科技有限公司"", ""alias"": ""亲贝科技"", ""name_idx"": [38, 47], ""alias_idx"": [54, 57]}]",签订《委托代持协议》，本公司及复星健控拟分别委托亚东信摩作为各自对拟新设企业杭州亲贝科技有限公司（以下简称“亲贝科技”）出资人民币 30 万元、40 万元的名义持有人,1
